,Pret_Raw,Full_Description,Suprafata_Utila,Nr_Camere,An_Constructie,Zona
276,255 000 €,"cum 7 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 21 | 255 000 € | 2684 €/m² | Vânzare apartament cu 2 camere, 98 m.p. Complexul Evergreen Towers | Aviatiei, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 95 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Spre Vânzare apartament cu 2 camere, în Complexul Evergreen Towers.

Bloc nou, finalizat în anul 2021 executat din cărămidă roșie, izolarea polistiren.

Un ansamblu rezidențial gândit pentru confo... | General Estates Capital | Agenție imobiliară",98.0,2.0,2021.0,Aviatiei
287,76 500 €,"cum 7 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 15 | 76 500 € | 1663 €/m² | Tomesti  Ap. 2cd s=50mp renovat, et 44 cu pod bloc pe cadre, reabilita | Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Ag. EXPERT CASA IMOBILIARE SRLva propune spre vanzare un apartament cu doua camere, decomandat in suprafata utila de 46mp si balcon inchis 4,10mp, etajul 4 4 cu pod,intr-un bloc din anul 1988, constru... | ANDREI FURNICA IMOBILIARE IASI | Agenție imobiliară",50.0,2.0,1988.0,Iasi (General)
288,105 000 €,"cum 7 zile | ... | ... | ... | ... | ... | 1 |  /  | 8 | 105 000 € | 1842 €/m² | Nicolina – Belvedere – AP 2CD, 57Mp, etaj 8/9, an 1984 | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 57 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Agenția Viva Imobiliare vă propune spre achiziție în zona Belvedere – Nicolina, în spatele Bisericii Catolice,  un apartament cu 2 camere tip decomandat la etajul 8/9( lift nou), cu o suprafață totală... | Viva Imobiliare | Agenție imobiliară",57.0,2.0,1984.0,Nicolina 2
294,92 999 €,"cum 7 zile | ... | ... | ... | ... | ... | 1 |  /  | 8 | 92 999 € | 1755 €/m² | Gara-2 camere- Etaj intermediar | Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Agentia Unu Imobiliare va propune spre vanzare un apartament cu 2 camere, decomandat, situat in zona garii. Apartamentul se afla pe etajul 5 din 6, cu lift nou schimbat, blocul construit in 1986. Pent... | ZDA | Agenție imobiliară",53.0,2.0,1986.0,Gara
295,93 000 €,"cum 7 zile | ... | ... | ... | ... | ... | 1 |  /  | 8 | 93 000 € | 1788 €/m² | 2 camere decomandat- Gara - 52 mp - 93000 euro | Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere , 52 mp, situat in zona Garii , la etajul 5 din 6, bloc din 1985  Apartamentul dispune de o suprafata de 52 mp total , se vinde cum este in poze    I... | ZDA | Agenție imobiliară",52.0,2.0,1985.0,Gara
297,90 000 €,"cum 7 zile | ... | ... | ... | 1 |  /  | 6 | 90 000 € | 1579 €/m² | Apartament 2 camere decomandat – Nicolina, str. Clopotari | Mobilat | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 57 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere decomandat, situat in zona Nicolina, pe strada Clopotari, intr-un bloc solid construit in 1982, pe placi.Imobilul este amplasat la etajul 4 din 4, cu... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",57.0,2.0,1982.0,Nicolina 2
300,133 000 €,"cum 7 zile | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 133 000 € | 1773 €/m² | Tatarasi - 3 camere - 75mp - bloc nou - etajul 2 | Aviatiei, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 75 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament de 3 camere, modelul cu doua bai, 75mp, situat la etajul 2 al unui bloc de 8 etaje construit in 2009.Imobilul este situat la 200m de statia de tramvai si autobuz F... | IDEAL HOME | Agenție imobiliară",75.0,3.0,2009.0,Aviatiei
302,93 000 €,"cum 7 zile | ... | ... | ... | ... | ... | 1 |  /  | 8 | 93 000 € | 1755 €/m² | Apartament cu 2 camere decomandat - Zona Garii | Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament  cu 2 camere decomandat, situat in zona g&#259;rii, Ia&#537;i, la 3 min de Pia&#539;a Unirii, etajul 5 cu lift, bloc din 1985.Apartamentul este... | Top Imobil | Agenție imobiliară",53.0,2.0,1985.0,Gara
311,82 999 €,"1 |  /  | 9 | 82 999 € | 1537 €/m² | Apartament 2 camere 54 mp2 Pacurari Rediu Lac . Bloc nou . 0 comision | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Apartament 2 camere 54 mp2 Pacurari Rediu Lac . Bloc nou . 0 comision

Apartamente in curs de executie cu predare in Ianuarie 2026 . Parte din complex de 180 apartamente cu drum securizat cu deschider... | Agenție imobiliară",54.0,2.0,2026.0,Centru
314,96 900 €,"1 |  /  | 10 | 96 900 € | 1794 €/m² | Vanzare apartament 2 camere - Podu Ros renovat | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere modelul semidecomandat, cu suprafata de 54mp, situat in Podu Ros intr-un bloc construit in anul 1971, la etajul 8 din 10 cu lift nou schimbat.Apartam... | Top Imobil | Agenție imobiliară",54.0,2.0,1971.0,Podu Ros
317,62 500 €,"1 |  /  | 3 | 62 500 € | 1603 €/m² | Apartament 2 camere de vanzare zona Mircea cel Batran | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 39 m² | Etaj | parter | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere, semidecomandat, situat in cartierul Mircea cel Batran, intr-un imobil construit in anul 1976 cu 4 niveluri fara risc seismic, cu o suprafata utila d... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",39.0,2.0,1976.0,Mircea cel Batran
318,215 000 €,"1 |  /  | 9 | 215 000 € | 1792 €/m² | Apartament 4 camere Tatarasi | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 120 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Compania imobiliara Fidelia Casa va propune spre vanzare un apartament spatios cu 4 camere si 2 bai, situat la etajul 2 a unui bloc de 4 etaje cu lift, construit pe cadre din beton in anul 2010, in zo... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",120.0,4.0,2010.0,Tatarasi Sud
321,57 000 €,"1 |  /  | 11 | 57 000 € | 1541 €/m² | DE VANZARE-APARTAMENT 2 CAMERE-DECOMANDAT | Dacia, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 37 m² | Etaj | mansardă | Vezi descrierea anunțului | Agentia Invest Imobiliare va propune spre vanzare un apartament de 2 camere, modelul decomandat, situat la mansarda unui bloc cu 4 nivele, ce a fost finalizat in anul 1976, blocul fiind fara risc seis... | INVEST IMOBILIARE | Agenție imobiliară",37.0,2.0,1976.0,Dacia
324,127 000 €,"1 |  /  | 9 | 127 000 € | 3629 €/m² | APARTAMENT 2 CAMERE DE VANZARE, ZONA CENTRALA | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 35 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 2 camere de vanzare | Zona Palas | 45,42 mp | Etaj 4 | Bloc 2016 Va propunem spre vanzare un apartament modern cu 2 camere, situat in zona Palas -  una dintre cele mai cautate si dinamice z... | Evo Imobiliare | Agenție imobiliară",35.0,2.0,2016.0,Centru
325,194 900 €,"1 |  /  | 15 | 194 900 € | 2564 €/m² | Vanzare Apartament 3 Camere 2 Bai 86 mp Silk District Utilat+Mobilat | Bulevardul Tudor Vladimirescu, Tatarasi Nord, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 76 m² | Etaj | 5 etajul | Vezi descrierea anunțului | De vanzare apartament cu 3 camere si 2 bai in Silk District.Apartamentul este situat la etajul 5 al unui bloc construit in 2024, are o suprafata utila de 76 mp si o terasa de 10 mp care poate fi acces... | Adrian Lupu Imobiliare | Agenție imobiliară",86.0,3.0,2024.0,Bulevardul Tudor Vladimirescu
329,122 990 €,"1 |  /  | 10 | 122 990 € | 2365 €/m² | Frumoasa - 2 Camere Decomandat - Etaj 3 - Bloc 2016 | Manta Rosie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem  spre vanzare un apartament cu  2  Camere Decomandat cu 1Loc De Parcare   , situat in zona Frumoasa .Imobilul se afla la etajul 3 al unui   bloc cu 3 nivele si pod   , blocul fiind  constr... | IDEAL HOME | Agenție imobiliară",52.0,2.0,2016.0,Manta Rosie
330,92 999 €,"cum 7 zile | 92 999 € | 1755 €/m² | Gara-2 camere- Etaj intermediar | Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Agentia Unu Imobiliare va propune spre vanzare un apartament cu 2 camere, decomandat, situat in zona garii. Apartamentul se afla pe etajul 5 din 6, cu lift nou schimbat, blocul construit in 1986. Pent... | ZDA | Agenție imobiliară",53.0,2.0,1986.0,Gara
331,125 900 €,"1 |  /  | 11 | 125 900 € | 2737 €/m² | Apartament de vânzare cu 2 camere Sf. Lazar - Palas | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament cu 2 camere &ndash; zona Sf. Laz&#259;r   Palas &ndash; bloc nou 2016V&#259; propun spre v&acirc;nzare un apartament cu 2 camere, situat &icirc;n zona Sf. Laz&#259;r, &icirc;n plan secund f... | DUAL AGENCY IMOB | Agenție imobiliară",46.0,2.0,2016.0,Tudor Vladimirescu
332,145 000 €,"1 |  /  | 10 | 145 000 € | 1986 €/m² | Central – Podul de Fier! Ap 2 CD, etaj 1, 73 mp, bloc din 1986 | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 73 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agenția Viva Imobiliare vă propune spre achiziție un apartament cu 2 camere, complet decomandat, situat în zona Tg. Cucu – Podul de Fier, o locație ideală cu acces rapid către toate punctele principal... | Viva Imobiliare | Agenție imobiliară",73.0,2.0,1986.0,Podu Ros
337,42 900 €,"1 |  /  | 8 | 42 900 € | 1300 €/m² | Apartament cu o camera - zona Visan | Podu Ros, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 33 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu o camera la etajul 3 intr-un bloc construit dupa 2000, in zona Visan.Apartamentul are o suprafata de 33 mp, se vinde partial mobilat si utilat.Este dotat cu c... | Locuinta Confortabila | Agenție imobiliară",33.0,1.0,2000.0,Podu Ros
344,73 000 €,"1 |  /  | 7 | 73 000 € | 1217 €/m² | BLOC NOU, Ap 3 camere, 60mp, Etaj 1, Soseaua Nicolina apropiere! | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Vezi descrierea anunțului | CONCEDIU 16Dec 2025 - 5Ian 2026! Sarbatori fericire!73.000€ BLOC NOU, Ap 3 camere, 60mp, Etaj 1, Soseaua Nicolina apropiere!Cu o experienta de 13 ani, peste 1000 de tranzactii incheiate cu succes, put... | Reactualizat |  Imobiliare  | Agenție imobiliară",60.0,3.0,2025.0,Nicolina 1
345,127 000 €,"1 |  /  | 13 | 127 000 € | 2822 €/m² | Apartament 2 camere Palas Mall | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 45 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 2 camere de vânzare – 5 minute de Palas MallSe oferă spre vânzare un apartament cu 2 camere, situat la etajul 4/4 al unui bloc construit în 2016. Proprietatea este intabulată și disponibilă... | Iasi Chirie | Agenție imobiliară",45.0,2.0,2016.0,Tudor Vladimirescu
350,115 000 €,"1 |  /  | 10 | 115 000 € | 1983 €/m² | Apartament 3 camere semidecomandat, Podu Ros | Tesatura, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 58 m² | Etaj | parter | Vezi descrierea anunțului | Top Imobil va propune spre vanzare  un apartament cu 3 camere modelul semidecomandat, cu suprafata de 60mp, situat in Podu Ros la parter INALT intr-un bloc cu 4 etaje fara risc seismic.Apartamentul di... | Top Imobil | Agenție imobiliară",58.0,3.0,1983.0,Tesatura
353,96 900 €,"1 |  /  | 10 | 96 900 € | 1794 €/m² | Apartament 2 camere semidecomandat, Podu Ros  - Piata Nicolina | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere modelul semidecomandat, cu suprafata de 54mp, situat in Podu Ros intr-un bloc construit in anul 1971, la etajul 8 din 10 cu lift nou schimbat.Apartam... | Top Imobil | Agenție imobiliară",54.0,2.0,1971.0,Podu Ros
358,119 500 €,"1 |  /  | 7 | 119 500 € | 1784 €/m² | Apartament 3 camere de vanzare Pacurari | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 67 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Apartament Spațios cu 2 Camere de Vânzare – Etaj 3/3, Bloc Nou, IașiVă prezentăm un apartament confortabil și bine întreținut, situat la etajul 3 din 3, într-un bloc construit în 2017, cu acoperiș din... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",67.0,3.0,2017.0,Pacurari
365,127 000 €,"1 |  /  | 9 | 127 000 € | 3629 €/m² | Persoana fizica proprietar vand imobil 2 camere la Palas | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 35 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Proprietar persoana fizica vand imobil, zona Palas (Str. A. Sesan), 2 camere, 45,42 mp din care 35,01 mp suprafata utila, schita atasata, etaj 4, scara cu lift, an constructie 2016, mobilat si utilat,... | Agenție imobiliară",35.0,2.0,2016.0,Centru
367,125 900 €,"125 900 € | 2737 €/m² | Apartament de vânzare cu 2 camere Sf. Lazar - Palas | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament cu 2 camere &ndash; zona Sf. Laz&#259;r   Palas &ndash; bloc nou 2016V&#259; propun spre v&acirc;nzare un apartament cu 2 camere, situat &icirc;n zona Sf. Laz&#259;r, &icirc;n plan secund f... | DUAL AGENCY IMOB | Agenție imobiliară",46.0,2.0,2016.0,Tudor Vladimirescu
372,47 000 €,"1 |  /  | 6 | 47 000 € | 1958 €/m² | Garsoniera Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 24 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre achizitie o garsoniera cu suprafata 24 mp, situata la etajul 3 din 4 al unui bloc de garsoniere in zona Nicolina- Gara Internationala
Garsoniera dispune de geam termopan, gresie, fai... | Smart Casa Imobiliare | Agenție imobiliară",24.0,1.0,1958.0,Nicolina 1
373,129 900 €,"1 |  /  | 18 | 129 900 € | 1687 €/m² | Apartament 4 camere decomandat 80mp 2 bai + balcon de renovat parter R | Nicolina 1, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 77 m² | Etaj | parter | Vezi descrierea anunțului | DESTINE IMOBILIARE vă prezintă spre vânzare:Apartament 4 camere, model DECOMANDAT – Rond Vechi (CUG)Preț: 129.900 €uroInformatii utile despre proprietate:- Imobil construit in anul 1984 - FĂRĂ RISC SE... | Destine Imobiliare | Agenție imobiliară",80.0,4.0,1984.0,Nicolina 1
377,105 000 €,"1 |  /  | 8 | 105 000 € | 2500 €/m² | Ap 2 cam, Bloc din 2020,42 mp, Et. 7/9, Nicolina 2 – 105.000 € | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 42 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Apartament cu 2 camere, 42 mp utili, situat în zona Nicolina 2, într-un bloc nou construit în 2020, poziționat la etajul 7/9. Locuința se vinde complet mobilată și utilată, fiind gata de mutat imediat... | Stil Imobil | Agenție imobiliară",42.0,2.0,2020.0,Nicolina 2
382,47 500 €,"1 |  /  | 6 | 47 500 € | 1969 €/m² | Garsoniera – Tatarasi – Str. Eternitate | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 24.12 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va prezentam o garsonieră de vânzare în zona Tătărași, pe Strada Eternitate, la etajul 3.Locuința are o suprafață utilă de 20,86 m.p., la care se adaugă un balcon de 3,26 m.p., oferind un spațiu compa... | SOLUȚII IMOBILIARE ROMÂNIA | Agenție imobiliară",24.12,1.0,1969.0,Tatarasi Nord
383,55 000 €,"1 |  /  | 5 | 55 000 € | 2115 €/m² | Apartament cu o camera - Poitiers | Podu Ros, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 26 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu o camera decomandat, situat la etajul 2 al unui bloc construit in anul 1980, in zona Poitiers. Apartamentul este dotat cu centrala termica, tamplarie PVC, usa... | Locuinta Confortabila | Agenție imobiliară",26.0,1.0,1980.0,Podu Ros
384,55 000 €,"1 |  /  | 9 | 55 000 € | 1667 €/m² | Apartament 1 camera, Bucium, bloc 2021, gradina proprie, intabulat | Bucium, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 33 m² | Etaj | parter | Vezi descrierea anunțului | Apartament 1 camera de vanzare in Iasi, cartier Bucium, la 700 m de la Hanul Trei Sarmale, cartier rezidential, bloc construit in 2021, finalizat si INTABULAT.
Apartamentul propus spre vanzare este s... | Stil Imobil | Agenție imobiliară",33.0,1.0,2021.0,Bucium
389,118 500 €,"1 |  /  | 7 | 118 500 € | 2370 €/m² | Himson-Tatarasi! Ap 2 camere. 50 mp, et 5/9. Loc de parcare subteran | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Complex Himson – TatarasiSe vinde apartament cu 2 camere, model open space, cu o suprafață de 50 mp, situat la etajul 5 dintr-un bloc cu 9 niveluri, construit în anul 2022. Imobilul dispune de lift mo... | Reactualizat | Viva Imobiliare | Agenție imobiliară",50.0,2.0,2022.0,Tatarasi Nord
390,273 000 €,"1 |  /  | 16 | 273 000 € | 2575 €/m² | Apartament 3 camere premium, bucătărie închisă, Silk District | Baza 3, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 106 m² | Vezi descrierea anunțului | Apartament deosebit situat în complexul Silk District din Iași, construit și intabulat în 2023, disponibil cu predare imediată.Locuința se află la etaj intermediar și are o suprafață utilă de 77,2 mp.... | Reactualizat | ZECE COLINE | Agenție imobiliară",106.0,3.0,2023.0,Baza 3
395,240 000 €,"1 |  /  | 13 | 240 000 € | 3000 €/m² | Apartament 3 camere, bloc tip vila, Zona Arcu | Uzinei, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 80 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vânzare apartament cu 3camere si 2 bai la blocurile tip vilă, situat la etajul 2 in zona Arcu - Fostul Billa, Iasi. Blocul, construit în 1990, este recunoscut pentru structura de rezi... | INVEST IMOBILIARE | Agenție imobiliară",80.0,3.0,1990.0,Uzinei
396,136 900 €,"1 |  /  | 11 | 136 900 € | 2489 €/m² | Centru Arcu  fosta Billa , 2 camere 56 mp etaj intermediar | Soseaua Arcu, Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Vă ofer spre vânzare un apartament spațios cu 2 camere, situat în zona Arcu (fostă Billa), într-un bloc cu 4 nivele, construit în 1986 – solid și bine poziționat, la 10 minute de mers pe jos de Copou ... | Reactualizat | DUAL AGENCY IMOB | Agenție imobiliară",56.0,2.0,1986.0,Soseaua Arcu
399,105 000 €,"1 |  /  | 12 | 105 000 € | 1981 €/m² | Apartament 2 camere CUG (BRD)-  105.000EURO | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 2 camere total decomandat situat in zona CUG (vis-a-vis de BRD).  Apartamentul se afla pozitionat la bulevard și se vinde  mobilat si utilat. Se afla pozitionat... | Stil Imobil | Agenție imobiliară",53.0,2.0,1981.0,CUG
401,129 000 €,"1 |  /  | 11 | 129 000 € | 1792 €/m² | Apartament cu 3 camere, etaj intermediar - Canta | Canta, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 72 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 3 camere decomandat, modelul mare cu dou&#259; b&#259;i, bloc din 1982, zona Canta, la bulevard.Apartamentul este la etaj intermediar 3 4, d... | Top Imobil | Agenție imobiliară",72.0,3.0,1982.0,Canta
407,92 000 €,"1 |  /  | 7 | 92 000 € | 1415 €/m² | 3 camere, decomandat, Tatarasi-Gradinari, mobilat si utilat! | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 65 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propun spre achizitie un apartament de 3 camere, cu 2 bai, aflat intr-un imobil de 4 etaje , cu hidroizolatie facuta recent, an constructie 1980,  situat la bulevard,  cu acces facil la mijloacele ... | Cabinet Imobiliar | Agenție imobiliară",65.0,3.0,1980.0,Tatarasi Sud
410,69 999 €,"1 |  /  | 9 | 69 999 € | 1842 €/m² | Apartamente Pacurari - Lac Rediu - Casablanca blocuri noi comision 0% | Centru, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 38 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartamente Pacurari - Lac Rediu - Casablanca blocuri noi comision 0%

Apartamente in curs de executie cu predare in Ianuarie  2026 . Parte din complex de 180 apartamente cu drum securizat cu deschide... | Agenție imobiliară",38.0,1.0,2026.0,Centru
420,115 900 €,"1 |  /  | 11 | 115 900 € | 1991 €/m² | 3 Camere Open Space, Tatarasi - 2 Baieti, Loc Parcare - 0% comision | Strada Fantanilor, Aviatiei, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 58.2 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Comision 0 
Descriere:
Oferim spre vanzare, in exclusivitate, apartament modern, 3 camere, cu suprafata utila de 58.2 mp si suprafata construita de 72 mp, situat la etajul 2 al unui imobil cu 8 etaj... | Prim Imobil | Agenție imobiliară",58.2,3.0,1991.0,Strada Fantanilor
426,124 900 €,"1 |  /  | 17 | 124 900 € | 1810 €/m² | Apartament 2 camere Cug -Roxema | Strada Latcu Voda, Valea Adanca, Miroslava, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Proprietar, vând apartament cu 2 camere, decomandat, bloc nou construit în 2016, suprafață totală 68.35 mp, 2 balcoane spațioase și loc de parcare inclus!Apartamentul se află in Valea Adâncă strada La... | Reactualizat | Proprietar",69.0,2.0,2016.0,Strada Latcu Voda
428,105 000 €,"1 |  /  | 8 | 105 000 € | 2500 €/m² | Apartament 2 camere-Semidecomandat-zona Nicolina | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 42 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament modern cu 2 camere, semidecomandat, situat la etajul 7/9 într-un complex rezidențial construit în 2020, în zona Nicolina. Locuința are o suprafață utilă de 42 mp ș... | Destine Imobiliare | Agenție imobiliară",42.0,2.0,2020.0,Nicolina 2
430,105 000 €,"1 |  /  | 10 | 105 000 € | 1842 €/m² | Tudor Neculai - Bloc 1986 - Apartament cu 2 camere decomandat ! | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 57 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Apartament cu 2 camere decomandate | Nicolina – Biserica Catolică | 57 mp | Etaj 8/9
Vă propunem spre vânzare un apartament spațios și luminos, situat într-una dintre cele mai solicitate zone ale Iaș... | Stil Imobil | Agenție imobiliară",57.0,2.0,1986.0,Nicolina 1
434,30 000 €,"1 |  /  | 6 | 30 000 € | 1765 €/m² | Vanzare garsoniera renovata complet - Mihail Sturza | Bularga, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 17 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Top Imobil va propune spre vanzare  o garsoniera transformata din camera de camin in cartierul Bularga pe Strada Mihail Sturza cu suprafata de 17mp intr-un bloc construit in anul 1979.Recent renovat&#... | Top Imobil | Agenție imobiliară",17.0,1.0,1979.0,Bularga
439,125 000 €,"1 |  /  | 11 | 125 000 € | 2273 €/m² | Apartament 2 camere, 55 mp, zona Tatarasi-Oancea | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Blitz va propune un apartament cu 2 camere, decomandat, cu o suprafață utilă de 55 mp, situat la etajul 1 al unui bloc construit în 1989, într-o zonă foarte bună. Locuința este luminoasă și bine compa... | BLITZ | Agenție imobiliară",55.0,2.0,1989.0,Tatarasi Sud
442,123 000 €,"1 |  /  | 8 | 123 000 € | 2365 €/m² | Apartament 2 camere de vanzare Frumoasa | Manta Rosie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Vând apartament cu 2 camere decomandat, situat în Zona Poitiers – Frumoasa, într-un bloc nou construit în 2016, finalizat și intabulat. Apartamentul beneficiază de parcare gratuită, acces în pod pentr... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",52.0,2.0,2016.0,Manta Rosie
443,120 000 €,"1 |  /  | 10 | 120 000 € | 2143 €/m² | De vanzare, 2 camere, decomandat, zona Gara-Fostul Billa, Iasi | Gara, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56 m² | Etaj | 6 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere, decomandat, avand suprafata totala de 56 mp, situat la etajul 6 dintr-un bloc cu 8 etaje construit in anul 1985 in zona Gara-Fost Billa, Iasi. Apart... | INVEST IMOBILIARE | Agenție imobiliară",56.0,2.0,1985.0,De vanzare
